estado,anio,mes_num,surtidas,total
BAJA CALIFORNIA SUR,2020,8,55067,57136
BAJA CALIFORNIA SUR,2020,9,57395,59433
BAJA CALIFORNIA SUR,2020,10,68337,69594
BAJA CALIFORNIA SUR,2020,11,55198,56324
BAJA CALIFORNIA SUR,2020,12,58829,59866
BAJA CALIFORNIA SUR,2021,1,56262,57198
BAJA CALIFORNIA SUR,2021,2,54719,55771
BAJA CALIFORNIA SUR,2021,3,57068,58105
BAJA CALIFORNIA SUR,2021,4,18375,18974
BAJA CALIFORNIA SUR,2021,5,59995,62010
BAJA CALIFORNIA SUR,2021,6,62551,65124
BAJA CALIFORNIA SUR,2021,7,65461,67787
BAJA CALIFORNIA SUR,2021,8,62961,64799
BAJA CALIFORNIA SUR,2021,9,67534,69593
BAJA CALIFORNIA SUR,2021,10,67454,70238
BAJA CALIFORNIA SUR,2021,11,37208,39750
BAJA CALIFORNIA SUR,2021,12,66771,69871
BAJA CALIFORNIA SUR,2022,1,71875,74170
BAJA CALIFORNIA SUR,2022,2,68876,71329
BAJA CALIFORNIA SUR,2022,3,80006,82719
BAJA CALIFORNIA SUR,2022,4,69928,72946
BAJA CALIFORNIA SUR,2022,5,77883,80751
BAJA CALIFORNIA SUR,2022,6,48142,50361
BAJA CALIFORNIA SUR,2022,7,73754,76937
BAJA CALIFORNIA SUR,2022,8,79650,82915
BAJA CALIFORNIA SUR,2022,9,76095,79333
BAJA CALIFORNIA SUR,2022,10,82198,86979
BAJA CALIFORNIA SUR,2022,11,85744,88439
BAJA CALIFORNIA SUR,2022,12,81787,84394
BAJA CALIFORNIA SUR,2023,1,87088,89808
BAJA CALIFORNIA SUR,2023,2,83413,85929
BAJA CALIFORNIA SUR,2023,3,91550,97104
BAJA CALIFORNIA SUR,2023,4,77076,80117
BAJA CALIFORNIA SUR,2023,5,90697,93014
BAJA CALIFORNIA SUR,2023,6,68348,70007
BAJA CALIFORNIA SUR,2023,7,87901,89412
BAJA CALIFORNIA SUR,2023,8,92291,93567
BAJA CALIFORNIA SUR,2023,9,91281,93206
BAJA CALIFORNIA SUR,2023,10,94662,96740
BAJA CALIFORNIA SUR,2023,11,93208,95291
BAJA CALIFORNIA SUR,2023,12,82686,84643
BAJA CALIFORNIA SUR,2024,1,94992,96425
BAJA CALIFORNIA SUR,2024,2,91610,93635
BAJA CALIFORNIA SUR,2024,3,87210,89012
BAJA CALIFORNIA SUR,2024,4,100590,102178
BAJA CALIFORNIA SUR,2024,5,101278,102719
BAJA CALIFORNIA SUR,2024,6,93836,95277
BAJA CALIFORNIA SUR,2024,7,100063,101653
BAJA CALIFORNIA SUR,2024,8,95355,96957
BAJA CALIFORNIA SUR,2024,9,98106,99510
BAJA CALIFORNIA SUR,2024,10,108014,109967
BAJA CALIFORNIA SUR,2024,11,99804,101326
BAJA CALIFORNIA SUR,2024,12,93494,95427
CAMPECHE,2018,1,63520,63688
CAMPECHE,2018,2,52342,52442
CAMPECHE,2018,3,55746,55818
CAMPECHE,2018,4,60261,60407
CAMPECHE,2018,5,60273,60713
CAMPECHE,2018,6,56873,57255
CAMPECHE,2018,7,60200,60577
CAMPECHE,2018,8,61618,61915
CAMPECHE,2018,9,57974,58159
CAMPECHE,2018,10,65530,65783
CAMPECHE,2018,11,61098,61568
CAMPECHE,2018,12,55085,55461
CAMPECHE,2019,1,66360,67114
CAMPECHE,2019,2,57675,58474
CAMPECHE,2019,3,35567,36120
CAMPECHE,2019,4,57796,58615
CAMPECHE,2019,5,60819,61920
CAMPECHE,2019,6,58648,59400
CAMPECHE,2019,7,62334,63055
CAMPECHE,2019,8,38569,39317
CAMPECHE,2019,9,58102,58801
CAMPECHE,2019,10,65294,66135
CAMPECHE,2019,11,60436,61134
CAMPECHE,2019,12,57918,58469
CAMPECHE,2020,1,60163,61424
CAMPECHE,2020,2,52375,54061
CAMPECHE,2020,3,55213,57349
CAMPECHE,2020,4,35721,37067
CAMPECHE,2020,5,31347,32658
CAMPECHE,2020,6,36518,37612
CAMPECHE,2020,7,41599,42530
CAMPECHE,2020,8,40630,41521
CAMPECHE,2020,9,44681,45323
CAMPECHE,2020,10,48515,49192
CAMPECHE,2020,11,39712,40323
CAMPECHE,2020,12,45994,46589
CAMPECHE,2021,1,47037,47697
CAMPECHE,2021,2,44715,45316
CAMPECHE,2021,3,41647,42241
CAMPECHE,2021,4,10596,11129
CAMPECHE,2021,5,47301,48531
CAMPECHE,2021,6,48384,49834
CAMPECHE,2021,7,51054,52491
CAMPECHE,2021,8,47243,49594
CAMPECHE,2021,9,49313,51919
CAMPECHE,2021,10,48389,50666
CAMPECHE,2021,11,26321,27594
CAMPECHE,2021,12,49578,51745
CAMPECHE,2022,1,51673,53783
CAMPECHE,2022,2,47316,49286
CAMPECHE,2022,3,55684,58742
CAMPECHE,2022,4,46320,50185
